MGI:1916703	HP:0007633
MGI:1917433	HP:0003002
MGI:2446173	HP:0100689
MGI:88056	MP:0002037
MGI:97371	HP:0011563
MGI:2679732	HP:0000717
MGI:1316678	MP:0004026
MGI:3041203	HP:0002459
MGI:88460	HP:0100297
MGI:98360	HP:0000765
MGI:1921575	MP:0000938
MGI:103150	MP:0001726
MGI:1923718	HP:0010920
MGI:107807	HP:0000114
MGI:1916145	MP:0011317
MGI:1915051	MP:0013027
MGI:2451097	HP:0000112
MGI:1341890	HP:0012585
MGI:2682940	MP:0005039
MGI:1918463	HP:0001845
MGI:1914609	HP:0001730
MGI:2445094	HP:0000594
MGI:3609653	HP:0007302
MGI:1095404	MP:0010594
MGI:2444846	MP:0003520
MGI:87940	MP:0004187
MGI:1354946	HP:0030253
MGI:1919455	HP:0008209
MGI:1859631	MP:0004599
MGI:106576	HP:0007260
MGI:1888712	MP:0002463
MGI:4845848	MP:0002169
MGI:87947	HP:0010980
MGI:2158394	HP:0000750
MGI:1935216	HP:0000964
MGI:103099	HP:0003287
MGI:2155345	HP:0100582
MGI:2683546	HP:0002138
MGI:106096	HP:0012627
MGI:98663	HP:0002575
MGI:2444233	HP:0012206
MGI:1933196	MP:0006042
MGI:1921471	HP:0003530
MGI:2685857	HP:0007898
MGI:95624	HP:0000635
MGI:107451	HP:0008572
MGI:1918992	MP:0011317
MGI:1916318	MP:0002316
MGI:88065	HP:0007535
MGI:1918427	HP:0100617
MGI:1354701	MP:0008040
MGI:1922523	HP:0002943
MGI:1921344	MP:0009219
MGI:1917370	HP:0007758
MGI:2444691	HP:0011779
MGI:1201378	HP:0012206
MGI:2387100	MP:0006043
MGI:1926176	HP:0002888
MGI:3710243	HP:0000485
MGI:1344372	HP:0200117
MGI:88381	HP:0003256
MGI:1922462	HP:0003002
MGI:2176213	MP:0003008
MGI:2448562	HP:0100753
MGI:99217	HP:0012063
MGI:1932515	MP:0008854
MGI:1341817	HP:0000190
MGI:99783	MP:0003600
MGI:1196295	HP:0003834
MGI:2183434	HP:0008064
MGI:1914533	HP:0005235
MGI:1353470	MP:0010723
MGI:1913903	MP:0008717
MGI:88388	HP:0012872
MGI:1914596	HP:0000528
MGI:1919531	MP:0001654
MGI:1926185	MP:0002169
MGI:96689	MP:0002732
MGI:1930949	MP:0006159
MGI:1347081	HP:0000709
MGI:1353561	MP:0004027
MGI:107181	MP:0013857
MGI:1930265	HP:0001551
MGI:1914740	HP:0011459
MGI:1914202	MP:0002334
MGI:104615	MP:0002822
MGI:1917022	MP:0002810
MGI:104590	HP:0011962
MGI:1919394	HP:0040215
MGI:1913150	HP:0012062
MGI:2446140	HP:0000144
MGI:1889642	HP:0010468
MGI:1915581	HP:0001651
MGI:1917446	MP:0003580
MGI:1329014	MP:0004187
MGI:1921418	HP:0001373
MGI:1332235	HP:0003287
MGI:2685537	MP:0004225
MGI:1328306	MP:0003786
MGI:1919793	MP:0001411
MGI:1918025	HP:0002063
MGI:5604098	HP:0001289
MGI:1924363	MP:0000231
MGI:1918648	MP:0002637
MGI:1923831	HP:0030079
MGI:2141857	MP:0011614
MGI:96629	HP:0003103
MGI:1351627	HP:0004902
MGI:2685715	HP:0030127
MGI:1201681	MP:0003269
MGI:2448541	HP:0010920
MGI:1099802	HP:0009919
MGI:1915592	MP:0003786
MGI:1921435	MP:0005302
MGI:107862	MP:0010768
MGI:1276123	HP:0011975
MGI:1913741	MP:0005044
MGI:1261437	HP:0003287
MGI:2442366	MP:0009151
MGI:96957	HP:0030404
MGI:1860603	MP:0010479
MGI:2142765	MP:0001260
MGI:103157	HP:0000713
MGI:99476	MP:0008034
MGI:107664	MP:0010425
MGI:2672814	MP:0008912
MGI:2442943	HP:0012058
MGI:1345635	MP:0000876
MGI:1924076	MP:0000435
MGI:1328321	HP:0000506
MGI:98847	MP:0000729
MGI:1922257	MP:0003674
MGI:3576625	MP:0004049
MGI:1858317	HP:0003287
MGI:1354708	MP:0008770
MGI:2448715	HP:0012787
MGI:2146512	HP:0100768
MGI:1924217	HP:0002419
MGI:87902	HP:0100303
MGI:2384585	HP:0000709
MGI:1346319	HP:0005549
MGI:1923684	MP:0008948
MGI:1328318	MP:0005025
MGI:1922670	HP:0100950
MGI:97542	HP:0200025
MGI:1923820	HP:0012331
MGI:1921620	MP:0003742
MGI:2149673	MP:0001883
MGI:2447763	MP:0010179
MGI:2143484	MP:0011940
MGI:2685179	MP:0010292
MGI:2445363	HP:0100686
MGI:2685919	MP:0002873
MGI:107476	MP:0020300
MGI:2137354	HP:0100315
MGI:98923	MP:0003411
MGI:1927551	HP:0000076
MGI:103198	MP:0005290
MGI:1914263	MP:0006038
MGI:1270849	HP:0012886
MGI:103296	HP:0004757
MGI:101825	MP:0012493
MGI:1345634	HP:0004845
MGI:1919862	MP:0002169
MGI:1919871	HP:0001287
MGI:1922680	MP:0002169
MGI:99595	HP:0008222
MGI:94867	HP:0002871
MGI:96923	HP:0002196
MGI:1926209	HP:0005681
MGI:106660	MP:0010300
MGI:2446240	HP:0003002
MGI:2385175	MP:0001059
MGI:2684947	HP:0003251
MGI:1914906	HP:0005231
MGI:107286	HP:0002063
MGI:2141353	MP:0005595
MGI:1920719	MP:0000751
MGI:1929470	MP:0020163
MGI:1916338	MP:0008913
MGI:87934	HP:0002307
MGI:2141847	HP:0000155
MGI:1353436	MP:0011632
MGI:109536	HP:0002721
MGI:1098566	HP:0004445
MGI:2136750	MP:0002064
MGI:96699	MP:0009724
MGI:1919375	HP:0001004
MGI:1306822	MP:0001260
MGI:2148865	MP:0009508
MGI:1349448	HP:0011459
MGI:3652571	MP:0013600
MGI:1928344	MP:0004007
MGI:1353424	MP:0001059
MGI:1100494	HP:0011142
MGI:1916216	HP:0012324
MGI:2686240	HP:0200044
MGI:2446181	MP:0001429
MGI:1923097	HP:0006466
MGI:1860765	MP:0003341
MGI:2445181	HP:0000151
MGI:1890169	MP:0004025
MGI:2385286	HP:0004379
MGI:2144164	MP:0008570
MGI:2180917	MP:0008273
MGI:893575	MP:0008764
MGI:1926334	HP:0002474
MGI:1289298	MP:0003708
MGI:95566	MP:0004187
MGI:2443123	MP:0005224
MGI:1917097	HP:0008242
MGI:105980	MP:0005403
MGI:2142527	HP:0009879
MGI:1918946	HP:0000765
MGI:1333880	HP:0001881
MGI:1313266	HP:0005548
MGI:1924802	HP:0100280
MGI:96671	MP:0001440
MGI:3583957	HP:0006297
MGI:1891408	HP:0040188
MGI:104629	MP:0001988
MGI:1920362	HP:0003002
MGI:87874	HP:0012493
MGI:1915058	HP:0000283
MGI:2147298	HP:0010297
MGI:88141	MP:0002026
MGI:1891823	HP:0002326
MGI:1917034	MP:0010831
MGI:2387630	MP:0001924
MGI:2685212	MP:0012008
MGI:1914195	HP:0002668
MGI:2446139	HP:0000819
MGI:96824	MP:0008169
MGI:1346345	MP:0011867
MGI:1917019	MP:0006413
MGI:1858963	MP:0003059
MGI:1354953	MP:0010594
MGI:95721	MP:0001963
MGI:97464	HP:0030207
MGI:1338757	HP:0002960
MGI:2661384	HP:0006775
MGI:1913367	HP:0000144
MGI:2685233	HP:0000736
MGI:1919573	MP:0001873
MGI:97793	HP:0001025
MGI:1914788	HP:0009733
MGI:1915992	MP:0010592
MGI:1925719	MP:0012431
MGI:3590652	MP:0002409
MGI:1858510	HP:0030064
MGI:2685861	HP:0005231
MGI:1913101	MP:0010945
MGI:3584032	MP:0009668
MGI:2177742	HP:0001022
MGI:1915195	HP:0100705
MGI:95395	HP:0012803
MGI:99953	MP:0001303
MGI:1914223	HP:0004430
MGI:102774	MP:0013438
MGI:1915342	HP:0012254
MGI:96575	HP:0000956
MGI:2682328	MP:0013139
MGI:88233	MP:0002936
MGI:2386030	MP:0010898
MGI:1345139	MP:0012741
MGI:1924268	HP:0008760
MGI:1861721	MP:0009220
MGI:1919324	MP:0001924
MGI:1923576	HP:0030688
MGI:1277166	MP:0012097
MGI:1351465	HP:0002326
MGI:1931029	HP:0000765
MGI:106442	HP:0100831
MGI:2442750	HP:0004369
MGI:88151	HP:0004789
MGI:1921054	HP:0002916
MGI:1918847	MP:0011233
MGI:1346876	HP:0002341
MGI:92638	HP:0100843
MGI:104745	HP:0002373
MGI:2147810	MP:0000929
MGI:1890659	MP:0005424
MGI:2656976	HP:0001388
MGI:1858959	MP:0011630
MGI:2144041	HP:0002180
MGI:2179720	MP:0004992
MGI:1919546	MP:0003789
MGI:1913557	HP:0003774
MGI:1923392	HP:0001328
MGI:1353423	MP:0000282
MGI:96024	HP:0001138
MGI:3700200	HP:0000540
MGI:1278340	MP:0004113
MGI:1920566	HP:0012206
MGI:1858224	HP:0004233
MGI:2442689	HP:0001879
MGI:107859	MP:0003303
MGI:1919835	HP:0200029
MGI:1915280	MP:0010297
MGI:103033	MP:0002563
MGI:2669209	MP:0003397
MGI:99439	HP:0005206
MGI:1916340	HP:0002099
MGI:1917678	HP:0003429
MGI:1343877	MP:0005481
MGI:2665114	HP:0002586
MGI:2683461	MP:0013118
MGI:2137648	MP:0001059
MGI:1347478	HP:0001258
MGI:102498	HP:0001138
MGI:96647	MP:0013139
MGI:2685122	HP:0001025
MGI:105064	MP:0009140
MGI:1315198	HP:0009792
MGI:1914152	HP:0012058
MGI:1333114	HP:0011330
MGI:2444947	HP:0006766
MGI:1927667	MP:0008877
MGI:108009	HP:0005184
MGI:2685903	HP:0000659
MGI:2146636	HP:0012270
MGI:102675	HP:0001730
MGI:108092	MP:0000751
MGI:1861622	HP:0040141
MGI:99694	HP:0000545
MGI:95415	MP:0011178
MGI:2154240	MP:0012200
MGI:1921731	HP:0002789
MGI:1914457	HP:0007269
MGI:1917319	MP:0002687
MGI:1918699	HP:0009725
MGI:1315202	HP:0000104
MGI:2669829	HP:0009734
MGI:2446249	MP:0003186
MGI:1927851	MP:0000282
MGI:1915270	HP:0100753
MGI:3052506	MP:0001254
MGI:1925558	HP:0000716
MGI:98887	MP:0001189
MGI:1333806	MP:0002727
MGI:109284	HP:0007351
MGI:1923938	HP:0002630
MGI:1918685	MP:0002795
MGI:96567	MP:0005103
MGI:2442554	HP:0004724
MGI:1355311	MP:0005431
MGI:1353592	HP:0003391
MGI:3036245	HP:0002789
MGI:107689	MP:0011289
MGI:2441932	HP:0010918
MGI:2449952	HP:0002861
MGI:3040672	HP:0012118
MGI:1919619	HP:0030162
MGI:3031303	MP:0003105
MGI:2441805	MP:0002037
MGI:2137678	MP:0005638
MGI:3647581	HP:0000670
MGI:2676556	MP:0001625
MGI:108013	HP:0000902
MGI:1860611	HP:0000629
MGI:1914778	HP:0000144
MGI:894835	HP:0003003
MGI:1920131	HP:0000717
MGI:1201386	HP:0007182
MGI:3045296	MP:0001189
MGI:1332243	HP:0001259
